Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,131.4,1576.80,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),S3 Standard,0,50.54,606.48,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,92.07,1104.84,USD," Inbound (from: All other regions) 10 TB per month 
 Outbound (to: Internet) 1 TB per month 
"
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,4327.652,51931.82,USD,"Quantity (1), Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,187.5,2250.00,USD,"Number of Elastic Network Interfaces (2), Hosted Zones (2)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,220.83,2649.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,104.03,1248.36,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour), Average number of new TCP connections (50 per second), Average TCP connection duration (10 seconds), Processed bytes per NLB for TLS (10 GB per hour), Average number of new TLS connections (100 per second), Average TLS connection duration (100 seconds)"
My Estimate,US East (N. Virginia),Amazon EC2,0,2456.58,29478.96,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m6g.8xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,3525.88,42310.56,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (r5a.8xlarge)"
My Estimate,US East (N. Virginia),Amazon CloudWatch,0,354,4248.00,USD,
My Estimate,EU (Frankfurt),Amazon RDS for PostgreSQL,0,5337.342,64048.10,USD,"Quantity (1), Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Instance type (db.m5.8xlarge), Additional backup storage (1 TB)"
My Estimate,EU (Frankfurt),Amazon EC2,0,2936.08,35232.96,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (m6g.8xlarge)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

I have increase the redundancy by adding a new region for RDS/EC2, so in case of an outage our application would not be affected.
